antecedent,consequent,support,confidence,lift
['3'],"['1', '2', '5']",0.11,0.5,2.25
['1'],"['2', '3', '5']",0.11,0.17,1.5
['2'],"['1', '3', '5']",0.11,0.14,1.29
['5'],"['1', '2', '3']",0.11,0.17,0.75
"['1', '3']","['2', '5']",0.11,0.5,1.12
"['2', '3']","['1', '5']",0.11,0.5,1.12
"['3', '5']","['1', '2']",0.11,1.0,2.25
"['1', '2']","['3', '5']",0.11,0.25,2.25
"['1', '5']","['2', '3']",0.11,0.25,1.12
"['2', '5']","['1', '3']",0.11,0.25,1.12
"['1', '2', '3']",['5'],0.11,0.5,0.75
"['1', '3', '5']",['2'],0.11,1.0,1.29
"['2', '3', '5']",['1'],0.11,1.0,1.5
"['1', '2', '5']",['3'],0.11,0.5,2.25
['3'],['2'],0.22,1.0,1.29
['2'],['3'],0.22,0.29,1.29
['3'],"['1', '2']",0.22,1.0,2.25
['1'],"['2', '3']",0.22,0.33,1.5
['2'],"['1', '3']",0.22,0.29,1.29
"['1', '3']",['2'],0.22,1.0,1.29
"['2', '3']",['1'],0.22,1.0,1.5
"['1', '2']",['3'],0.22,0.5,2.25
['3'],"['2', '5']",0.11,0.5,1.12
['2'],"['3', '5']",0.11,0.14,1.29
['5'],"['2', '3']",0.11,0.17,0.75
"['2', '3']",['5'],0.11,0.5,0.75
"['3', '5']",['2'],0.11,1.0,1.29
"['2', '5']",['3'],0.11,0.25,1.12
['3'],['5'],0.11,0.5,0.75
['5'],['3'],0.11,0.17,0.75
['3'],"['1', '5']",0.11,0.5,1.12
['1'],"['3', '5']",0.11,0.17,1.5
['5'],"['1', '3']",0.11,0.17,0.75
"['1', '3']",['5'],0.11,0.5,0.75
"['3', '5']",['1'],0.11,1.0,1.5
"['1', '5']",['3'],0.11,0.25,1.12
['3'],['1'],0.22,1.0,1.5
['1'],['3'],0.22,0.33,1.5
['4'],['1'],0.11,0.5,0.75
['1'],['4'],0.11,0.17,0.75
['4'],"['1', '2']",0.11,0.5,1.12
['2'],"['1', '4']",0.11,0.14,1.29
['1'],"['2', '4']",0.11,0.17,0.75
"['2', '4']",['1'],0.11,0.5,0.75
"['1', '4']",['2'],0.11,1.0,1.29
"['1', '2']",['4'],0.11,0.25,1.12
['4'],['2'],0.22,1.0,1.29
['2'],['4'],0.22,0.29,1.29
['1'],['2'],0.44,0.67,0.86
['2'],['1'],0.44,0.57,0.86
['5'],"['1', '2']",0.22,0.33,0.75
['2'],"['1', '5']",0.22,0.29,0.64
['1'],"['2', '5']",0.22,0.33,0.75
"['2', '5']",['1'],0.22,0.5,0.75
"['1', '5']",['2'],0.22,0.5,0.64
"['1', '2']",['5'],0.22,0.5,0.75
['5'],['2'],0.44,0.67,0.86
['2'],['5'],0.44,0.57,0.86
['5'],['1'],0.44,0.67,1.0
['1'],['5'],0.44,0.67,1.0
