antecedent,consequent,support,confidence,lift
['2'],['3'],0.22,0.29,1.29
['3'],['2'],0.22,1.0,1.29
['1'],['2'],0.44,0.67,0.86
['2'],['1'],0.44,0.57,0.86
['1'],['3'],0.22,0.33,1.5
['3'],['1'],0.22,1.0,1.5
['2'],['4'],0.22,0.29,1.29
['4'],['2'],0.22,1.0,1.29
['2'],['5'],0.44,0.57,0.86
['5'],['2'],0.44,0.67,0.86
['1'],['5'],0.44,0.67,1.0
['5'],['1'],0.44,0.67,1.0
['1'],"['2', '3']",0.22,0.33,1.5
['2'],"['1', '3']",0.22,0.29,1.29
['3'],"['1', '2']",0.22,1.0,2.25
"['1', '2']",['3'],0.22,0.5,2.25
"['1', '3']",['2'],0.22,1.0,1.29
"['2', '3']",['1'],0.22,1.0,1.5
['1'],"['2', '5']",0.22,0.33,0.75
['2'],"['1', '5']",0.22,0.29,0.64
['5'],"['1', '2']",0.22,0.33,0.75
"['1', '2']",['5'],0.22,0.5,0.75
"['1', '5']",['2'],0.22,0.5,0.64
"['2', '5']",['1'],0.22,0.5,0.75
