antecedent,consequent,support,confidence,lift
['41'],['38'],0.11,0.8,1.05
['41'],['36'],0.1,0.7,1.12
['31'],['38'],0.12,0.8,1.06
['13'],['38'],0.13,0.78,1.04
['19'],['38'],0.13,0.81,1.06
['45'],['38'],0.13,0.79,1.04
['6'],['38'],0.13,0.77,1.01
['18'],['38'],0.15,0.8,1.06
"['10', '36']",['38'],0.11,0.82,1.08
['10'],['38'],0.16,0.79,1.05
"['4', '36']",['38'],0.11,0.82,1.08
['4'],['38'],0.16,0.8,1.06
"['34', '36']",['38'],0.11,0.78,1.03
['34'],['38'],0.16,0.77,1.02
['12'],['38'],0.17,0.76,1.01
"['12', '36']",['38'],0.11,0.79,1.05
"['25', '11']",['38'],0.1,0.79,1.04
['25'],['38'],0.18,0.78,1.03
"['25', '36']",['38'],0.12,0.79,1.04
"['0', '11']",['38'],0.1,0.78,1.04
"['0', '36']",['38'],0.12,0.77,1.02
['0'],['38'],0.18,0.77,1.01
"['0', '48']",['38'],0.11,0.79,1.04
['26'],['38'],0.19,0.78,1.03
"['26', '11']",['38'],0.1,0.8,1.06
"['26', '28']",['38'],0.1,0.79,1.05
"['26', '36']",['38'],0.13,0.81,1.07
"['48', '26']",['38'],0.1,0.81,1.07
"['42', '36']",['38'],0.13,0.81,1.07
"['42', '28']",['38'],0.1,0.82,1.09
"['48', '42']",['38'],0.11,0.81,1.07
['42'],['38'],0.2,0.79,1.05
"['42', '11']",['38'],0.11,0.81,1.08
"['8', '42']",['38'],0.1,0.81,1.07
"['3', '7']",['38'],0.1,0.81,1.08
"['8', '7']",['38'],0.1,0.79,1.04
['7'],['38'],0.2,0.79,1.05
"['11', '7']",['38'],0.11,0.82,1.08
"['36', '7']",['38'],0.14,0.8,1.06
"['39', '7']",['38'],0.1,0.82,1.08
"['28', '7']",['38'],0.11,0.82,1.08
"['48', '7']",['38'],0.11,0.83,1.09
"['8', '49']",['38'],0.1,0.79,1.05
"['49', '11']",['38'],0.11,0.78,1.03
['49'],['38'],0.2,0.78,1.03
