antecedent,consequent,support,confidence,lift
['44'],['38'],0.05,0.77,1.02
['38'],['44'],0.05,0.07,1.02
['16'],['38'],0.06,0.79,1.05
['38'],['16'],0.06,0.08,1.05
['20'],['36'],0.05,0.68,1.08
['36'],['20'],0.05,0.08,1.08
['20'],['38'],0.06,0.76,1.01
['38'],['20'],0.06,0.08,1.01
['24'],['3'],0.05,0.5,1.03
['3'],['24'],0.05,0.1,1.03
['24'],['38'],0.07,0.73,0.96
['38'],['24'],0.07,0.1,0.96
['24'],['11'],0.05,0.54,1.03
['11'],['24'],0.05,0.1,1.03
['24'],['36'],0.07,0.65,1.04
['36'],['24'],0.07,0.11,1.04
['24'],['48'],0.05,0.52,0.99
['48'],['24'],0.05,0.1,0.99
['27'],['17'],0.05,0.5,1.09
['17'],['27'],0.05,0.11,1.09
['27'],"['36', '38']",0.06,0.57,1.17
['36'],"['27', '38']",0.06,0.1,1.11
['38'],"['27', '36']",0.06,0.08,1.11
"['27', '36']",['38'],0.06,0.84,1.11
"['27', '38']",['36'],0.06,0.69,1.11
"['36', '38']",['27'],0.06,0.12,1.17
['27'],"['11', '38']",0.05,0.5,1.22
['11'],"['27', '38']",0.05,0.1,1.17
['38'],"['11', '27']",0.05,0.07,1.13
"['11', '27']",['38'],0.05,0.86,1.13
"['27', '38']",['11'],0.05,0.61,1.17
"['11', '38']",['27'],0.05,0.13,1.22
['27'],['43'],0.05,0.48,1.19
['43'],['27'],0.05,0.12,1.19
['27'],['47'],0.05,0.5,1.13
['47'],['27'],0.05,0.12,1.13
['27'],['36'],0.07,0.68,1.08
['36'],['27'],0.07,0.11,1.08
['27'],['39'],0.05,0.51,1.13
['39'],['27'],0.05,0.12,1.13
['27'],['28'],0.05,0.48,0.98
['28'],['27'],0.05,0.1,0.98
['27'],['48'],0.06,0.55,1.04
['48'],['27'],0.06,0.11,1.04
['27'],['3'],0.06,0.57,1.18
['3'],['27'],0.06,0.12,1.18
['27'],['38'],0.09,0.82,1.08
['38'],['27'],0.09,0.11,1.08
['27'],['8'],0.05,0.5,1.01
['8'],['27'],0.05,0.11,1.01
['27'],['40'],0.05,0.49,1.07
['40'],['27'],0.05,0.11,1.07
['27'],['11'],0.06,0.58,1.11
['11'],['27'],0.06,0.12,1.11
['46'],"['36', '38']",0.05,0.46,0.95
['36'],"['38', '46']",0.05,0.09,0.95
['38'],"['36', '46']",0.05,0.07,1.03
"['36', '46']",['38'],0.05,0.78,1.03
"['38', '46']",['36'],0.05,0.6,0.95
"['36', '38']",['46'],0.05,0.11,0.95
['46'],['28'],0.06,0.52,1.06
['28'],['46'],0.06,0.12,1.06
['46'],['8'],0.05,0.46,0.92
['8'],['46'],0.05,0.11,0.92
['46'],['3'],0.05,0.43,0.88
['3'],['46'],0.05,0.1,0.88
['46'],['40'],0.05,0.45,0.98
['40'],['46'],0.05,0.11,0.98
['46'],['9'],0.05,0.43,1.0
['9'],['46'],0.05,0.12,1.0
['46'],['35'],0.05,0.43,1.17
['35'],['46'],0.05,0.14,1.17
['46'],['17'],0.05,0.46,1.0
['17'],['46'],0.05,0.12,1.0
['46'],['11'],0.06,0.53,1.01
['11'],['46'],0.06,0.12,1.01
['46'],['43'],0.06,0.47,1.18
['43'],['46'],0.06,0.14,1.18
['46'],['36'],0.07,0.59,0.94
['36'],['46'],0.07,0.11,0.94
['46'],"['48', '38']",0.05,0.45,1.09
['48'],"['38', '46']",0.05,0.1,1.11
['38'],"['48', '46']",0.05,0.07,1.03
"['48', '46']",['38'],0.05,0.78,1.03
"['38', '46']",['48'],0.05,0.59,1.11
"['48', '38']",['46'],0.05,0.13,1.09
['46'],['47'],0.06,0.53,1.18
