antecedent,consequent,support,confidence,lift
['sausage'],['pip fruit'],0.01,0.06,0.79
['pip fruit'],['sausage'],0.01,0.19,0.79
['frankfurter'],['pip fruit'],0.01,0.07,0.91
['pip fruit'],['frankfurter'],0.01,0.15,0.91
['pip fruit'],['pork'],0.01,0.13,1.17
['pork'],['pip fruit'],0.01,0.09,1.17
['sausage'],['pork'],0.02,0.1,0.89
['pork'],['sausage'],0.02,0.21,0.89
['frankfurter'],['pork'],0.01,0.09,0.81
['pork'],['frankfurter'],0.01,0.13,0.81
['frankfurter'],['sausage'],0.03,0.19,0.8
['sausage'],['frankfurter'],0.03,0.13,0.8
['tropical fruit'],['other vegetables'],0.02,0.11,0.83
['other vegetables'],['tropical fruit'],0.02,0.12,0.83
['chicken'],['sausage'],0.02,0.2,0.84
['sausage'],['chicken'],0.02,0.07,0.84
['sausage'],['root vegetables'],0.02,0.07,0.9
['root vegetables'],['sausage'],0.02,0.21,0.9
['beef'],['whole milk'],0.02,0.2,0.96
['whole milk'],['beef'],0.02,0.08,0.96
['tropical fruit'],['whole milk'],0.02,0.17,0.81
['whole milk'],['tropical fruit'],0.02,0.11,0.81
['whole milk'],['citrus fruit'],0.02,0.11,0.86
['citrus fruit'],['whole milk'],0.02,0.18,0.86
['whole milk'],['root vegetables'],0.02,0.08,0.92
['root vegetables'],['whole milk'],0.02,0.19,0.92
['beef'],['citrus fruit'],0.01,0.15,1.14
['citrus fruit'],['beef'],0.01,0.1,1.14
['frankfurter'],['soda'],0.01,0.08,0.99
['soda'],['frankfurter'],0.01,0.16,0.99
['frankfurter'],['citrus fruit'],0.02,0.11,0.85
['citrus fruit'],['frankfurter'],0.02,0.14,0.85
['beef'],['other vegetables'],0.01,0.13,0.95
['other vegetables'],['beef'],0.01,0.08,0.95
['tropical fruit'],['citrus fruit'],0.02,0.12,0.93
['citrus fruit'],['tropical fruit'],0.02,0.13,0.93
['pastry'],['whole milk'],0.01,0.33,1.59
['whole milk'],['pastry'],0.01,0.06,1.59
['yogurt'],['sausage'],0.02,0.26,1.1
['sausage'],['yogurt'],0.02,0.07,1.1
['tropical fruit'],['sausage'],0.03,0.22,0.94
['sausage'],['tropical fruit'],0.03,0.13,0.94
['other vegetables'],['soda'],0.01,0.08,0.93
['soda'],['other vegetables'],0.01,0.13,0.93
['sausage'],['ham'],0.01,0.05,0.97
['ham'],['sausage'],0.01,0.23,0.97
['sausage'],['soda'],0.02,0.07,0.76
['soda'],['sausage'],0.02,0.18,0.76
['sausage'],['other vegetables'],0.03,0.12,0.88
['other vegetables'],['sausage'],0.03,0.21,0.88
['frankfurter'],['root vegetables'],0.01,0.08,0.97
