antecedent,consequent,support,confidence,lift
['tropical fruit'],['whole milk'],0.12,0.44,0.69
['whole milk'],['tropical fruit'],0.12,0.18,0.69
['whole milk'],['rolls/buns'],0.18,0.28,0.63
['rolls/buns'],['whole milk'],0.18,0.41,0.63
['whole milk'],['root vegetables'],0.11,0.18,0.64
['root vegetables'],['whole milk'],0.11,0.41,0.64
['whole milk'],['other vegetables'],0.19,0.3,0.61
['other vegetables'],['whole milk'],0.19,0.39,0.61
['other vegetables'],['soda'],0.12,0.26,0.66
['soda'],['other vegetables'],0.12,0.32,0.66
['yogurt'],['whole milk'],0.15,0.44,0.69
['whole milk'],['yogurt'],0.15,0.23,0.69
['yogurt'],['rolls/buns'],0.11,0.33,0.74
['rolls/buns'],['yogurt'],0.11,0.25,0.74
['whole milk'],['soda'],0.15,0.24,0.61
['soda'],['whole milk'],0.15,0.39,0.61
['rolls/buns'],['soda'],0.12,0.27,0.7
['soda'],['rolls/buns'],0.12,0.31,0.7
['other vegetables'],['rolls/buns'],0.15,0.3,0.68
['rolls/buns'],['other vegetables'],0.15,0.33,0.68
['yogurt'],['other vegetables'],0.12,0.35,0.72
['other vegetables'],['yogurt'],0.12,0.25,0.72
['bottled water'],['whole milk'],0.11,0.47,0.73
['whole milk'],['bottled water'],0.11,0.18,0.73
['whole milk'],['sausage'],0.11,0.17,0.7
['sausage'],['whole milk'],0.11,0.45,0.7
