antecedent,consequent,support,confidence,lift
['48'],['19'],0.15,0.44,1.03
['19'],['48'],0.15,0.36,1.03
['37'],['30'],0.07,0.43,0.99
['30'],['37'],0.07,0.17,0.99
['32'],['28'],0.07,0.25,1.06
['28'],['32'],0.07,0.31,1.06
['32'],['3'],0.05,0.18,1.06
['3'],['32'],0.05,0.31,1.06
['19'],['3'],0.08,0.19,1.09
['3'],['19'],0.08,0.46,1.09
['19'],['28'],0.1,0.23,0.98
['28'],['19'],0.1,0.42,0.98
['32'],['14'],0.18,0.61,1.06
['14'],['32'],0.18,0.31,1.06
['48'],['28'],0.09,0.25,1.05
['28'],['48'],0.09,0.37,1.05
['42'],['30'],0.11,0.45,1.05
['30'],['42'],0.11,0.25,1.05
['16'],['30'],0.17,0.43,1.0
['30'],['16'],0.17,0.4,1.0
['19'],['14'],0.26,0.6,1.05
['14'],['19'],0.26,0.45,1.05
['32'],['30'],0.13,0.45,1.03
['30'],['32'],0.13,0.3,1.03
['32'],['42'],0.07,0.25,1.05
['42'],['32'],0.07,0.31,1.05
['48'],['3'],0.06,0.17,0.99
['3'],['48'],0.06,0.35,0.99
['19'],['37'],0.08,0.18,1.07
['37'],['19'],0.08,0.46,1.07
['14'],['30'],0.25,0.44,1.01
['30'],['14'],0.25,0.58,1.01
['48'],['14'],0.22,0.63,1.09
['14'],['48'],0.22,0.39,1.09
['3'],['30'],0.08,0.46,1.06
['30'],['3'],0.08,0.18,1.06
['42'],['14'],0.14,0.59,1.03
['14'],['42'],0.14,0.25,1.03
['28'],['30'],0.1,0.44,1.02
['30'],['28'],0.1,0.24,1.02
['28'],['14'],0.14,0.6,1.04
['14'],['28'],0.14,0.25,1.04
['32'],['37'],0.06,0.19,1.15
['37'],['32'],0.06,0.34,1.15
['32'],['19'],0.13,0.45,1.06
['19'],['32'],0.13,0.31,1.06
['42'],['28'],0.06,0.25,1.08
['28'],['42'],0.06,0.26,1.08
['16'],['28'],0.1,0.26,1.1
['28'],['16'],0.1,0.43,1.1
['16'],['42'],0.1,0.25,1.05
['42'],['16'],0.1,0.41,1.05
['3'],['14'],0.1,0.58,1.01
['14'],['3'],0.1,0.18,1.01
['48'],['30'],0.16,0.46,1.07
['30'],['48'],0.16,0.38,1.07
['37'],['14'],0.1,0.59,1.02
['14'],['37'],0.1,0.17,1.02
['16'],['3'],0.07,0.18,1.03
['3'],['16'],0.07,0.41,1.03
['19'],['30'],0.19,0.45,1.05
['30'],['19'],0.19,0.45,1.05
['16'],['48'],0.15,0.38,1.09
['48'],['16'],0.15,0.43,1.09
['42'],['19'],0.11,0.48,1.13
['19'],['42'],0.11,0.27,1.13
['16'],['37'],0.07,0.18,1.06
['37'],['16'],0.07,0.42,1.06
['48'],['37'],0.06,0.18,1.08
['37'],['48'],0.06,0.38,1.08
['16'],['32'],0.13,0.33,1.13
['32'],['16'],0.13,0.44,1.13
['32'],['48'],0.11,0.39,1.1
['48'],['32'],0.11,0.32,1.1
['48'],['42'],0.1,0.27,1.13
['42'],['48'],0.1,0.4,1.13
['16'],['19'],0.17,0.42,1.0
['19'],['16'],0.17,0.39,1.0
['16'],['14'],0.23,0.58,1.01
['14'],['16'],0.23,0.4,1.01
['38'],['14'],0.13,0.62,1.07
['14'],['38'],0.13,0.22,1.07
['34'],['38'],0.11,0.22,1.08
['38'],['34'],0.11,0.56,1.08
['16'],['34'],0.22,0.55,1.06
['34'],['16'],0.22,0.42,1.06
['16'],['1'],0.17,0.43,1.05
['1'],['16'],0.17,0.41,1.05
['1'],['34'],0.23,0.56,1.08
['34'],['1'],0.23,0.45,1.08
['1'],['38'],0.09,0.21,1.03
['38'],['1'],0.09,0.43,1.03
['16'],['38'],0.09,0.22,1.06
['38'],['16'],0.09,0.42,1.06
['1'],['14'],0.24,0.58,1.01
['14'],['1'],0.24,0.41,1.01
['34'],['14'],0.31,0.59,1.03
['14'],['34'],0.31,0.54,1.03
['24'],['30'],0.07,0.46,1.06
['30'],['24'],0.07,0.17,1.06
['1'],['49'],0.14,0.34,1.12
['49'],['1'],0.14,0.46,1.12
['1'],['19'],0.18,0.44,1.04
['19'],['1'],0.18,0.43,1.04
['11'],['14'],0.12,0.61,1.07
['14'],['11'],0.12,0.21,1.07
['32'],['26'],0.1,0.33,1.07
['26'],['32'],0.1,0.31,1.07
['18'],['26'],0.21,0.34,1.12
['26'],['18'],0.21,0.67,1.12
['32'],['21'],0.06,0.21,1.04
['21'],['32'],0.06,0.31,1.04
['28'],['21'],0.06,0.25,1.21
