antecedent,consequent,support,confidence,lift
['44'],['38'],0.05,0.77,1.02
['16'],['38'],0.06,0.79,1.05
['20'],['38'],0.06,0.76,1.01
['20'],['36'],0.05,0.68,1.08
['24'],['36'],0.07,0.65,1.04
['24'],['3'],0.05,0.5,1.03
['24'],['48'],0.05,0.52,0.99
['24'],['11'],0.05,0.54,1.03
['24'],['38'],0.07,0.73,0.96
['27'],['8'],0.05,0.5,1.01
['27'],['28'],0.05,0.48,0.98
['27'],['47'],0.05,0.5,1.13
['27'],['48'],0.06,0.55,1.04
['27'],['40'],0.05,0.49,1.07
['27'],['11'],0.06,0.58,1.11
['27'],['43'],0.05,0.48,1.19
['27'],"['11', '38']",0.05,0.5,1.22
"['11', '27']",['38'],0.05,0.86,1.13
"['27', '38']",['11'],0.05,0.61,1.17
['27'],['17'],0.05,0.5,1.09
['27'],"['36', '38']",0.06,0.57,1.17
"['27', '36']",['38'],0.06,0.84,1.11
"['27', '38']",['36'],0.06,0.69,1.11
['27'],['38'],0.09,0.82,1.08
['27'],['39'],0.05,0.51,1.13
['27'],['3'],0.06,0.57,1.18
['27'],['36'],0.07,0.68,1.08
['46'],"['36', '38']",0.05,0.46,0.95
"['36', '46']",['38'],0.05,0.78,1.03
"['38', '46']",['36'],0.05,0.6,0.95
['46'],['35'],0.05,0.43,1.17
['46'],['38'],0.09,0.77,1.02
['46'],"['48', '38']",0.05,0.45,1.09
"['48', '46']",['38'],0.05,0.78,1.03
"['38', '46']",['48'],0.05,0.59,1.11
['46'],['39'],0.06,0.48,1.05
['46'],['36'],0.07,0.59,0.94
['46'],['8'],0.05,0.46,0.92
['46'],['9'],0.05,0.43,1.0
['46'],['28'],0.06,0.52,1.06
['46'],['3'],0.05,0.43,0.88
['46'],['47'],0.06,0.53,1.18
['46'],['11'],0.06,0.53,1.01
['46'],['40'],0.05,0.45,0.98
['46'],['48'],0.07,0.58,1.09
['46'],['43'],0.06,0.47,1.18
['46'],['17'],0.05,0.46,1.0
['22'],"['36', '38']",0.06,0.52,1.07
"['36', '22']",['38'],0.06,0.78,1.02
"['38', '22']",['36'],0.06,0.68,1.08
['22'],['29'],0.05,0.44,1.12
['22'],"['11', '38']",0.05,0.44,1.08
"['11', '22']",['38'],0.05,0.79,1.04
"['38', '22']",['11'],0.05,0.57,1.1
['22'],['39'],0.06,0.48,1.05
['22'],['36'],0.08,0.67,1.07
['22'],['8'],0.06,0.48,0.97
['22'],['47'],0.05,0.44,0.98
['22'],['3'],0.06,0.52,1.07
['22'],['28'],0.06,0.52,1.06
['22'],['48'],0.07,0.57,1.07
['22'],['9'],0.05,0.44,1.01
['22'],['40'],0.06,0.52,1.15
['22'],['11'],0.07,0.56,1.08
['22'],"['48', '38']",0.05,0.45,1.09
"['48', '22']",['38'],0.05,0.79,1.05
"['38', '22']",['48'],0.05,0.58,1.1
['22'],['17'],0.06,0.49,1.08
['22'],['38'],0.09,0.77,1.02
['15'],"['11', '38']",0.05,0.44,1.09
"['11', '15']",['38'],0.05,0.81,1.07
"['38', '15']",['11'],0.05,0.54,1.03
['15'],['17'],0.06,0.47,1.03
['15'],"['8', '38']",0.05,0.46,1.18
"['8', '15']",['38'],0.05,0.84,1.11
"['38', '15']",['8'],0.05,0.55,1.11
['15'],['38'],0.1,0.83,1.09
['15'],['39'],0.05,0.46,1.02
['15'],"['3', '38']",0.06,0.48,1.27
"['3', '15']",['38'],0.06,0.88,1.16
"['38', '15']",['3'],0.06,0.58,1.19
['15'],"['36', '38']",0.07,0.58,1.2
"['36', '15']",['38'],0.07,0.88,1.16
"['38', '15']",['36'],0.07,0.7,1.12
['15'],['3'],0.06,0.55,1.12
['15'],['48'],0.07,0.58,1.09
['15'],['36'],0.08,0.66,1.05
['15'],['9'],0.05,0.45,1.03
['15'],['8'],0.06,0.54,1.09
['15'],['47'],0.05,0.46,1.02
['15'],['28'],0.06,0.51,1.04
['15'],"['48', '38']",0.06,0.5,1.2
"['48', '15']",['38'],0.06,0.86,1.13
"['38', '15']",['48'],0.06,0.6,1.13
['15'],['11'],0.06,0.55,1.05
['15'],['40'],0.05,0.46,1.01
['41'],"['17', '38']",0.06,0.43,1.2
"['41', '17']",['38'],0.06,0.84,1.11
"['41', '38']",['17'],0.06,0.54,1.18
['41'],"['3', '36']",0.06,0.41,1.31
"['41', '3']",['36'],0.06,0.75,1.19
"['41', '36']",['3'],0.06,0.58,1.2
['41'],"['36', '47']",0.05,0.36,1.26
"['41', '47']",['36'],0.05,0.75,1.2
"['41', '36']",['47'],0.05,0.52,1.16
['41'],['8'],0.07,0.5,1.01
['41'],"['8', '36']",0.05,0.36,1.11
"['8', '41']",['36'],0.05,0.71,1.13
"['41', '36']",['8'],0.05,0.51,1.03
['41'],['11'],0.08,0.54,1.04
['41'],"['11', '38']",0.06,0.44,1.08
"['41', '11']",['38'],0.06,0.81,1.07
"['41', '38']",['11'],0.06,0.55,1.06
['41'],"['28', '36']",0.05,0.36,1.13
"['41', '28']",['36'],0.05,0.71,1.14
"['41', '36']",['28'],0.05,0.51,1.05
['41'],['14'],0.06,0.41,1.05
['41'],['35'],0.05,0.38,1.02
['41'],['9'],0.06,0.44,1.01
['41'],['47'],0.07,0.48,1.08
['41'],['28'],0.07,0.5,1.03
['41'],['48'],0.08,0.54,1.03
['41'],['40'],0.06,0.45,0.99
['41'],"['40', '38']",0.05,0.38,1.07
"['40', '41']",['38'],0.05,0.84,1.1
"['41', '38']",['40'],0.05,0.48,1.04
['41'],['43'],0.05,0.36,0.89
['41'],"['48', '38']",0.06,0.44,1.07
"['48', '41']",['38'],0.06,0.82,1.08
"['41', '38']",['48'],0.06,0.56,1.05
['41'],"['9', '38']",0.05,0.36,1.07
"['41', '9']",['38'],0.05,0.81,1.07
"['41', '38']",['9'],0.05,0.45,1.03
['41'],"['3', '38']",0.06,0.44,1.16
"['41', '3']",['38'],0.06,0.8,1.06
"['41', '38']",['3'],0.06,0.55,1.13
['41'],"['38', '47']",0.06,0.4,1.14
"['41', '47']",['38'],0.06,0.83,1.09
"['41', '38']",['47'],0.06,0.5,1.12
['41'],['29'],0.06,0.4,1.03
['41'],"['8', '38']",0.06,0.41,1.06
"['8', '41']",['38'],0.06,0.81,1.07
"['41', '38']",['8'],0.06,0.51,1.03
['41'],['36'],0.1,0.7,1.12
['41'],"['28', '38']",0.06,0.41,1.08
"['41', '28']",['38'],0.06,0.81,1.08
"['41', '38']",['28'],0.06,0.52,1.06
['41'],"['17', '36']",0.05,0.35,1.19
"['41', '17']",['36'],0.05,0.68,1.09
"['41', '36']",['17'],0.05,0.5,1.09
['41'],"['11', '36']",0.06,0.41,1.2
"['41', '11']",['36'],0.06,0.75,1.2
"['41', '36']",['11'],0.06,0.58,1.12
['41'],['17'],0.07,0.51,1.12
['41'],['39'],0.07,0.47,1.04
['41'],['3'],0.08,0.55,1.12
['41'],"['36', '38']",0.08,0.58,1.19
"['41', '36']",['38'],0.08,0.83,1.09
"['41', '38']",['36'],0.08,0.73,1.16
['41'],"['38', '39']",0.05,0.37,1.06
"['41', '39']",['38'],0.05,0.79,1.05
"['41', '38']",['39'],0.05,0.47,1.04
['41'],"['48', '36']",0.05,0.37,1.11
"['48', '41']",['36'],0.05,0.68,1.09
"['41', '36']",['48'],0.05,0.53,1.0
['41'],['38'],0.11,0.8,1.05
['31'],['17'],0.07,0.51,1.1
['31'],['39'],0.07,0.48,1.06
['31'],"['17', '38']",0.06,0.42,1.18
"['17', '31']",['38'],0.06,0.84,1.11
"['38', '31']",['17'],0.06,0.53,1.15
['31'],['3'],0.07,0.5,1.02
['31'],"['8', '36']",0.05,0.35,1.1
"['8', '31']",['36'],0.05,0.64,1.02
