antecedent,consequent,support,confidence,lift
['citrus fruit'],['whole milk'],0.09,0.44,0.69
['whole milk'],['citrus fruit'],0.09,0.14,0.69
['tropical fruit'],['rolls/buns'],0.09,0.33,0.76
['rolls/buns'],['tropical fruit'],0.09,0.2,0.76
['whole milk'],['rolls/buns'],0.18,0.28,0.63
['rolls/buns'],['whole milk'],0.18,0.41,0.63
['citrus fruit'],['rolls/buns'],0.07,0.34,0.78
['rolls/buns'],['citrus fruit'],0.07,0.16,0.78
['tropical fruit'],['whole milk'],0.12,0.44,0.69
['whole milk'],['tropical fruit'],0.12,0.18,0.69
['whole milk'],['other vegetables'],0.19,0.3,0.61
['other vegetables'],['whole milk'],0.19,0.39,0.61
['other vegetables'],['root vegetables'],0.09,0.19,0.7
['root vegetables'],['other vegetables'],0.09,0.34,0.7
['whole milk'],['root vegetables'],0.11,0.18,0.64
['root vegetables'],['whole milk'],0.11,0.41,0.64
['whole milk'],['coffee'],0.06,0.09,0.7
['coffee'],['whole milk'],0.06,0.45,0.7
['whole milk'],['butter'],0.07,0.1,0.75
['butter'],['whole milk'],0.07,0.48,0.75
['tropical fruit'],['other vegetables'],0.09,0.34,0.71
['other vegetables'],['tropical fruit'],0.09,0.19,0.71
['shopping bags'],['other vegetables'],0.07,0.39,0.8
['other vegetables'],['shopping bags'],0.07,0.15,0.8
['butter'],['other vegetables'],0.06,0.42,0.86
['other vegetables'],['butter'],0.06,0.12,0.86
['tropical fruit'],['root vegetables'],0.06,0.22,0.79
['root vegetables'],['tropical fruit'],0.06,0.21,0.79
['shopping bags'],['whole milk'],0.09,0.49,0.76
['whole milk'],['shopping bags'],0.09,0.14,0.76
['pip fruit'],['other vegetables'],0.07,0.38,0.78
['other vegetables'],['pip fruit'],0.07,0.15,0.78
['frankfurter'],['other vegetables'],0.06,0.41,0.84
['other vegetables'],['frankfurter'],0.06,0.13,0.84
['sausage'],['other vegetables'],0.09,0.39,0.8
['other vegetables'],['sausage'],0.09,0.19,0.8
['pork'],['other vegetables'],0.06,0.38,0.79
['other vegetables'],['pork'],0.06,0.11,0.79
['fruit/vegetable juice'],['other vegetables'],0.05,0.4,0.81
['other vegetables'],['fruit/vegetable juice'],0.05,0.11,0.81
['citrus fruit'],['other vegetables'],0.08,0.37,0.76
['other vegetables'],['citrus fruit'],0.08,0.16,0.76
['citrus fruit'],['soda'],0.07,0.31,0.81
['soda'],['citrus fruit'],0.07,0.17,0.81
['other vegetables'],['domestic eggs'],0.05,0.11,0.77
['domestic eggs'],['other vegetables'],0.05,0.37,0.77
['shopping bags'],['soda'],0.06,0.34,0.89
['soda'],['shopping bags'],0.06,0.17,0.89
['other vegetables'],['soda'],0.12,0.26,0.66
['soda'],['other vegetables'],0.12,0.32,0.66
['bottled beer'],['soda'],0.06,0.31,0.81
['soda'],['bottled beer'],0.06,0.14,0.81
['domestic eggs'],['rolls/buns'],0.05,0.36,0.82
['rolls/buns'],['domestic eggs'],0.05,0.12,0.82
['citrus fruit'],['yogurt'],0.06,0.28,0.82
['yogurt'],['citrus fruit'],0.06,0.17,0.82
['rolls/buns'],['soda'],0.12,0.27,0.7
['soda'],['rolls/buns'],0.12,0.31,0.7
['whole milk'],['soda'],0.15,0.24,0.61
['soda'],['whole milk'],0.15,0.39,0.61
['fruit/vegetable juice'],['rolls/buns'],0.05,0.4,0.92
['rolls/buns'],['fruit/vegetable juice'],0.05,0.12,0.92
['canned beer'],['whole milk'],0.09,0.47,0.74
['whole milk'],['canned beer'],0.09,0.14,0.74
['whole milk'],['fruit/vegetable juice'],0.06,0.1,0.73
['fruit/vegetable juice'],['whole milk'],0.06,0.47,0.73
['bottled beer'],['whole milk'],0.09,0.48,0.76
['whole milk'],['bottled beer'],0.09,0.13,0.76
['yogurt'],['rolls/buns'],0.11,0.33,0.74
['rolls/buns'],['yogurt'],0.11,0.25,0.74
['whole milk'],['newspapers'],0.07,0.11,0.74
['newspapers'],['whole milk'],0.07,0.47,0.74
['bottled beer'],['rolls/buns'],0.06,0.36,0.81
['rolls/buns'],['bottled beer'],0.06,0.14,0.81
['canned beer'],['yogurt'],0.05,0.28,0.82
['yogurt'],['canned beer'],0.05,0.15,0.82
['canned beer'],['soda'],0.05,0.3,0.77
['soda'],['canned beer'],0.05,0.14,0.77
['yogurt'],['whole milk'],0.15,0.44,0.69
['whole milk'],['yogurt'],0.15,0.23,0.69
['newspapers'],['rolls/buns'],0.06,0.37,0.85
['rolls/buns'],['newspapers'],0.06,0.13,0.85
['yogurt'],['soda'],0.1,0.28,0.73
['soda'],['yogurt'],0.1,0.25,0.73
['canned beer'],['rolls/buns'],0.07,0.36,0.82
['rolls/buns'],['canned beer'],0.07,0.15,0.82
['whole milk'],['domestic eggs'],0.07,0.11,0.75
['domestic eggs'],['whole milk'],0.07,0.48,0.75
['bottled water'],['other vegetables'],0.09,0.39,0.81
['other vegetables'],['bottled water'],0.09,0.19,0.81
['bottled water'],['soda'],0.08,0.32,0.82
['soda'],['bottled water'],0.08,0.2,0.82
['brown bread'],['other vegetables'],0.06,0.41,0.84
['other vegetables'],['brown bread'],0.06,0.12,0.84
['tropical fruit'],['bottled water'],0.06,0.21,0.89
['bottled water'],['tropical fruit'],0.06,0.24,0.89
